weight_Logistic,weight_ExtraTrees,weight_XGBoost,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece,selection
0.4,0.2,0.4,0.7337666666666667,0.44607197641981206,0.5051677204396289,0.755579297245964,0.07116788321167883,0.688755980861244,0.9346091723361558,0.0351985559566787,0.3402671079068668,0.7638358517639441,0.6762827747313769,0.3783870502738761,0.08275936180820943,
0.7,0.3,0.0,0.7127,0.4454984210813184,0.515232365531166,0.7331433998100665,0.14963503649635038,0.6629186602870814,0.939220357885132,0.03620309050772627,0.346028971028971,0.765293758792843,0.7379586566599697,0.4125428809952814,0.10282607513760754,
0.3,0.2,0.5,0.7363,0.4454931957763144,0.5026583818497707,0.759417537195315,0.06386861313868614,0.684688995215311,0.9330545967232242,0.03479125248508946,0.3397032640949555,0.7615539801656483,0.6554032386210217,0.3684797718644567,0.0700871017817805,
0.6,0.2,0.2,0.7189,0.4449745106259353,0.5112376168230525,0.738366571699905,0.11496350364963503,0.6803827751196172,0.9385373704858666,0.03553299492385787,0.3408028759736369,0.7659874349802336,0.7230753720015474,0.4036840704442132,0.09617418266258827,
0.0,0.3,0.7,0.7453,0.4447696997749549,0.49607584434955987,0.7729898702120924,0.04562043795620438,0.6696172248803828,0.9286902781079154,0.03109452736318408,0.34297267491728956,0.7508721255140577,0.5922377343297832,0.34213147110942105,0.03308653016612195,
0.1,0.2,0.7,0.7377,0.44403437326642003,0.4990350392219318,0.7623061095283318,0.05656934306569343,0.6782296650717703,0.9313512206913223,0.03137651821862348,0.34045874864897324,0.7548272512911435,0.618686372219787,0.3541476783957693,0.040452755401644176,
0.4,0.1,0.5,0.7247666666666667,0.4435820610601051,0.5061713755564156,0.7443811332700222,0.08394160583941605,0.6901913875598086,0.9362464539889513,0.034328358208955224,0.3367573246177192,0.7627934175036731,0.6891016331189037,0.3861142696383146,0.0719198128239683,
0.3,0.1,0.6,0.7277666666666667,0.4434194423354967,0.5040502717435317,0.748338081671415,0.07481751824817519,0.6889952153110048,0.9348492338111716,0.03319838056680162,0.3374340949033392,0.7603446515807423,0.6681804352261084,0.3763584856598537,0.05962289699711867,
0.5,0.1,0.4,0.7195333333333334,0.4431266553154047,0.5082622390870708,0.7382082937638493,0.09854014598540146,0.6880382775119617,0.9381002665057575,0.03428571428571429,0.3368470367767627,0.7645467198556345,0.7116821914487087,0.3976975414005132,0.08136463281417733,
0.0,0.2,0.8,0.7376666666666667,0.4425688112970155,0.49636747428896094,0.7632162076606521,0.05291970802919708,0.6729665071770335,0.9303492185992668,0.02965235173824131,0.3393244873341375,0.7499183106790647,0.6036700806208389,0.3497228633359628,0.02384912215241487,
0.4,0.0,0.6,0.7162666666666667,0.4421932370130634,0.509220768896926,0.7339347894903451,0.10401459854014598,0.689712918660287,0.9384265115102454,0.03587161736941473,0.3334489937543373,0.7613757784888905,0.7036861735226613,0.39458329386411933,0.06083666735688423,
0.2,0.1,0.7,0.7289,0.44215466401647624,0.501120070354643,0.7504352643241532,0.06751824817518248,0.6854066985645934,0.9335006891120299,0.031678082191780824,0.33642555190230156,0.7572975574963161,0.6489138664988886,0.36843018946486106,0.04506742980144239,
0.7,0.2,0.1,0.7044333333333334,0.44177301659296275,0.513554695692827,0.7226970560303894,0.15145985401459855,0.6665071770334928,0.9406190451666065,0.03384991843393149,0.342639281761161,0.7658256801455535,0.7492927011607978,0.41907381220566936,0.09547943281881643,
0.5,0.0,0.5,0.7101666666666666,0.441691051495158,0.5125581921871104,0.7264165875276987,0.12226277372262774,0.6889952153110048,0.9406158733411897,0.03639326453014666,0.333256190696598,0.7633096226661653,0.7263855117081315,0.40601507119527486,0.06945259603959489,
0.6,0.1,0.3,0.7103333333333334,0.4414194636504847,0.5104278267039184,0.7279202279202279,0.12226277372262774,0.6811004784688995,0.9402985074626866,0.033787191124558746,0.3368035017153673,0.7655321699164938,0.736023296379305,0.41110830094671885,0.08696066237296028,
