model,fold,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece
XGBoost — original features,6,0.6921666666666667,0.4343440823053378,0.5114179338862579,0.704055390702275,0.13761467889908258,0.6925837320574163,0.9452855245683931,0.03282275711159737,0.32564679415073117,0.733531964142467,0.7021899223327637,0.4057534441840876,0.014324641694625223
Logistic Regression,7,0.63,0.421960623799328,0.5320053421407144,0.6445103857566765,0.3761467889908257,0.5753588516746412,0.9495773826872632,0.03433835845896147,0.3498181818181818,0.7699210108057177,0.8786764600371965,0.491508714092395,0.09766046577385161
ExtraTrees,7,0.7661666666666667,0.44051613425355374,0.4718444302581326,0.8138476755687438,0.027522935779816515,0.5741626794258373,0.9113867966326983,0.02631578947368421,0.3498542274052478,0.728886027165673,0.5699351548685467,0.3239015118221192,0.05698935176158331
XGBoost — engineered features,7,0.71,0.4288978966775426,0.48621678372110727,0.7317507418397626,0.06422018348623854,0.6626794258373205,0.9312688821752266,0.022653721682847898,0.3222803955788249,0.7472790739518844,0.659639835357666,0.3826852466008905,0.016662877629200618
XGBoost — original features,7,0.6896666666666667,0.4243664346872271,0.49080039527736785,0.7095944609297725,0.11926605504587157,0.6435406698564593,0.9314463775642691,0.03217821782178218,0.30830945558739253,0.7498997241503002,0.6904637217521667,0.3984491553363808,0.026641216317812615
Logistic Regression,8,0.6336666666666667,0.4178854418359776,0.49748294180427144,0.6493866244558766,0.2545454545454545,0.5885167464114832,0.9480069324090121,0.024888888888888887,0.3481953290870488,0.75213416467956,0.8764604090201695,0.4915281253021955,0.0826046584063795
ExtraTrees,8,0.7721666666666667,0.451146429388936,0.4817816071278675,0.8197467352592006,0.045454545454545456,0.5801435406698564,0.9133597883597884,0.06097560975609756,0.3509406657018813,0.7275198898546611,0.5640322641817826,0.3197417918970388,0.05892553096689729
XGBoost — engineered features,8,0.7093333333333334,0.4276272385312854,0.48511050353155616,0.7330827067669173,0.07272727272727272,0.6495215311004785,0.9278737791134485,0.030418250950570342,0.3113532110091743,0.7293876209627511,0.6568769812583923,0.3821604997455365,0.016159932345151895
XGBoost — original features,8,0.6995,0.4290544786911472,0.49310716983847175,0.7190344281757024,0.1,0.6602870813397129,0.9339501413518376,0.029649595687331536,0.3176064441887227,0.7299731123890459,0.685354471206665,0.39595185804900734,0.014339957828323032
Logistic Regression,9,0.6266666666666667,0.41130205638667944,0.48872300368145244,0.6446379105658884,0.2545454545454545,0.5669856459330144,0.9498542274052478,0.024179620034542316,0.3356940509915014,0.7542833960340752,0.8763067061190679,0.49300677834249346,0.07858539640904731
ExtraTrees,9,0.7783333333333333,0.45282100125325203,0.48425249727188785,0.8254847645429363,0.03636363636363636,0.5909090909090909,0.9175280404662415,0.05063291139240506,0.35953420669577874,0.7393865490804817,0.5629515550047581,0.31552960279973846,0.06941132105415675
XGBoost — engineered features,9,0.7211666666666666,0.4397883692016435,0.5017423942631699,0.7415908191531461,0.08181818181818182,0.6818181818181818,0.9377032774580936,0.033210332103321034,0.32909930715935337,0.7515413691887557,0.6481682658195496,0.37507486991485145,0.020414182374874756
XGBoost — original features,9,0.7016666666666667,0.43837473887296263,0.5128101353863127,0.7166600712307083,0.13636363636363635,0.6854066985645934,0.9422476586888657,0.03740648379052369,0.3264957264957265,0.7524541077187911,0.681589663028717,0.3930381021006592,0.022920613576968528
Logistic Regression,10,0.6335,0.4212719648145226,0.5069755729035507,0.6481994459833795,0.2818181818181818,0.5909090909090909,0.9607038123167155,0.026028547439126783,0.3531093638313081,0.7720038178876582,0.8670709444072023,0.4862152592230597,0.09703569283666906
ExtraTrees,10,0.7808333333333334,0.45391619684167117,0.484909042942284,0.8286505738029284,0.03636363636363636,0.5897129186602871,0.9198330770920272,0.038461538461538464,0.3670886075949367,0.7490961553582057,0.5511144369993511,0.31044158657036797,0.07239220267090155
XGBoost — engineered features,10,0.7183333333333334,0.4425383023257627,0.5085464858318044,0.7366442421844084,0.1,0.6889952153110048,0.9399141630901288,0.03514376996805112,0.33371958285052145,0.7708245535782612,0.6473925113677979,0.37465431093521717,0.020385771314303098
XGBoost — original features,10,0.7033333333333334,0.44217128043312975,0.5197311460469355,0.7180451127819549,0.15454545454545454,0.6866028708133971,0.943087318087318,0.04047619047619048,0.33140877598152424,0.7535311252888605,0.6774824857711792,0.38938394325699166,0.028834682375192645
Logistic Regression,11,0.6356666666666667,0.4170311562328883,0.4980057297532478,0.6553907022749753,0.27522935779816515,0.5633971291866029,0.9619628339140535,0.02555366269165247,0.34081041968162085,0.7735969826712541,0.8640944909939455,0.48618315397098405,0.09830318183699342
ExtraTrees,11,0.778,0.4469652882887574,0.478525842323847,0.8251236399604353,0.01834862385321101,0.5921052631578947,0.9177117711771177,0.018518518518518517,0.3674832962138085,0.7421775939871432,0.5623022399653304,0.3141582470112146,0.0759799672586651
XGBoost — engineered features,11,0.7128333333333333,0.433139340767762,0.49332211135565923,0.7347181008902077,0.08256880733944955,0.6626794258373205,0.9357520786092215,0.02903225806451613,0.3219058686809994,0.7540872133088975,0.6469951868057251,0.37521206890312775,0.023109506666660288
XGBoost — original features,11,0.6976666666666667,0.4331221818675606,0.5036162786148816,0.713353115727003,0.11926605504587157,0.6782296650717703,0.9422524170368435,0.030732860520094562,0.324,0.7591195698265523,0.6797311305999756,0.3923155811398183,0.03105881506204605
Logistic Regression,12,0.6331666666666667,0.42124199184927075,0.5106578213955489,0.645895153313551,0.28440366972477066,0.6016746411483254,0.9488520778843359,0.027288732394366196,0.35347856640899505,0.7652459970963464,0.8713219485518525,0.4881730493493701,0.09179823846853216
ExtraTrees,12,0.774,0.4507760325104128,0.4839259244689899,0.8193867457962414,0.03669724770642202,0.5956937799043063,0.9173864894795127,0.04040404040404041,0.3593073593073593,0.7416589396167644,0.5494611350685003,0.31361194330196024,0.06067684010989368
XGBoost — engineered features,12,0.7151666666666666,0.43566717048664644,0.49990547910187066,0.732542037586548,0.07339449541284404,0.69377990430622,0.9400863163239401,0.03007518796992481,0.3231197771587744,0.7529074623648279,0.6496805548667908,0.37699096455043735,0.014283959011236809
XGBoost — original features,12,0.6965,0.43492855006493564,0.511135711380078,0.7103857566765579,0.13761467889908258,0.6854066985645934,0.9412844036697248,0.04,0.3165745856353591,0.7501238637985347,0.6802768707275391,0.3941447689692683,0.022640697151422504
Logistic Regression,13,0.6286666666666667,0.41186280545990844,0.4940814956050413,0.6489908982983775,0.2818181818181818,0.5514354066985646,0.9490740740740741,0.02663230240549828,0.33405797101449275,0.7543922671378628,0.8806262387333473,0.49309190504193134,0.0900545083769579
ExtraTrees,13,0.7701666666666667,0.44304226004911706,0.47439591802472686,0.8181638306292046,0.02727272727272727,0.5777511961722488,0.91280353200883,0.03125,0.35152838427947597,0.7332944915046303,0.5602321179315357,0.3208106448413775,0.06507641713044748
XGBoost — engineered features,13,0.7071666666666667,0.4296884139885317,0.4905757216006523,0.7267510882469331,0.07272727272727272,0.6722488038277512,0.9355578196637799,0.025157232704402517,0.3200455580865604,0.7426142122745437,0.6596987247467041,0.3837832010962799,0.011983883077899602
XGBoost — original features,13,0.6961666666666667,0.4321950327489891,0.5030105167224281,0.7130985358132172,0.12727272727272726,0.6686602870813397,0.9378090033827738,0.034482758620689655,0.31924614505996574,0.7371251098847411,0.689728856086731,0.3985873450297478,0.015326387668649345
Logistic Regression,14,0.6138333333333333,0.40534859095569137,0.48228286026069966,0.6317768104471706,0.2636363636363636,0.5514354066985646,0.9491676575505351,0.02321857485988791,0.3323720259552992,0.7544723414858862,0.888545184308081,0.49987157950260636,0.08030621818835983
ExtraTrees,14,0.7706666666666667,0.4413274404626093,0.47093331414661055,0.8209339137316977,0.02727272727272727,0.5645933014354066,0.9118681318681319,0.03260869565217391,0.3475699558173785,0.7371825891189708,0.5644437178667339,0.32207040376513624,0.05998360285644301
XGBoost — engineered features,14,0.7155,0.4324409461270757,0.49021297262294494,0.7388207360506529,0.07272727272727272,0.6590909090909091,0.932334581772784,0.02867383512544803,0.3210955710955711,0.753258575392764,0.6539026498794556,0.38054535651662824,0.0170092739959558
XGBoost — original features,14,0.7001666666666667,0.4352589289704985,0.5065900396925328,0.7166600712307083,0.12727272727272726,0.6758373205741627,0.938585125680228,0.03553299492385787,0.32341156267887805,0.7488516978931562,0.6895380616188049,0.3982198074661792,0.01921931579212347
Logistic Regression,15,0.6198333333333333,0.41290122758529496,0.5107013946349127,0.6359319351009102,0.33636363636363636,0.5598086124401914,0.9531435349940688,0.029814665592264304,0.33741888968997835,0.7582505584254075,0.8782719226042459,0.4932660491384163,0.09896215820814706
ExtraTrees,15,0.77,0.4420488461318442,0.4689750692520776,0.8227146814404432,0.03636363636363636,0.5478468899521531,0.908256880733945,0.03669724770642202,0.3488194973343488,0.7390682313562097,0.5634655855725719,0.32083458600597803,0.060327781570656325
XGBoost — engineered features,15,0.7043333333333334,0.4302247720756591,0.4923576884795721,0.7263553620894341,0.1,0.6507177033492823,0.9303091738469336,0.03353658536585366,0.31517960602549244,0.7342384819565573,0.6642399430274963,0.3862154497300142,0.022849433958530407
XGBoost — original features,15,0.6908333333333333,0.4287724347671527,0.49826839826839825,0.706766917293233,0.11818181818181818,0.6698564593301436,0.9367951744033569,0.029748283752860413,0.32,0.7311972972104535,0.6938281059265137,0.4005136292221165,0.02632392414410909
